year,crop,rainfall,temperature,soil_type,irrigation,season,yield
2019,Maize,113.6,23.5,Clay,0,Kharif,2.86
2011,Rice,147.2,33.5,Sandy,1,Kharif,2.92
2016,Wheat,95.7,23.7,Sandy,0,Rabi,3.01
2010,Rice,107.1,30.9,Sandy,1,Kharif,3.15
2020,Rice,134.1,32.1,Clay,1,Kharif,4.66
2013,Rice,115.6,24.0,Loam,0,Kharif,3.36
2010,Rice,167.2,25.1,Sandy,0,Kharif,3.01
2016,Soybean,73.2,29.5,Sandy,0,Kharif,2.43
2012,Mustard,49.9,16.5,Sandy,1,Rabi,1.52
2023,Soybean,62.3,20.8,Sandy,1,Kharif,2.91
2010,Maize,84.4,21.9,Loam,1,Kharif,3.95
2021,Maize,74.9,23.2,Loam,1,Kharif,4.41
2022,Wheat,60.0,22.9,Loam,1,Rabi,3.84
2013,Rice,110.1,22.9,Loam,1,Kharif,3.68
2015,Mustard,62.0,12.1,Clay,1,Rabi,1.11
2010,Maize,113.0,29.1,Loam,0,Kharif,3.79
2013,Rice,113.8,34.2,Loam,1,Kharif,4.08
2018,Rice,153.1,22.7,Sandy,1,Kharif,3.3
2012,Mustard,61.7,19.5,Sandy,0,Rabi,1.27
2015,Rice,122.9,31.8,Loam,1,Kharif,3.82
2019,Soybean,92.0,25.7,Clay,1,Kharif,2.89
2015,Soybean,141.5,29.6,Clay,0,Kharif,1.7
2012,Rice,155.7,24.2,Clay,0,Kharif,3.94
2021,Mustard,35.7,13.6,Clay,0,Rabi,1.17
2022,Maize,115.1,27.0,Clay,1,Kharif,3.86
2016,Rice,197.3,25.2,Clay,1,Kharif,4.04
2022,Wheat,56.4,18.6,Loam,1,Rabi,3.91
2010,Soybean,104.3,25.8,Loam,0,Kharif,1.86
2013,Mustard,38.9,14.2,Clay,1,Rabi,1.46
2021,Wheat,62.1,20.3,Loam,0,Rabi,2.85
2022,Mustard,70.7,10.3,Sandy,0,Rabi,1.14
2018,Mustard,43.5,13.6,Sandy,1,Rabi,1.31
2018,Rice,142.5,26.2,Loam,0,Kharif,3.86
2014,Mustard,47.5,15.1,Loam,0,Rabi,1.5
2019,Maize,103.9,23.5,Sandy,0,Kharif,2.22
2023,Rice,141.3,34.9,Loam,0,Kharif,3.71
2018,Wheat,93.0,23.2,Sandy,0,Rabi,2.51
2013,Mustard,58.1,21.4,Clay,1,Rabi,1.43
2023,Maize,54.9,22.5,Sandy,0,Kharif,2.77
2013,Rice,179.9,22.5,Clay,0,Kharif,3.63
2020,Rice,187.1,30.2,Sandy,1,Kharif,3.4
2021,Soybean,62.8,21.1,Sandy,1,Kharif,2.42
2014,Rice,169.7,23.5,Sandy,0,Kharif,2.9
2019,Rice,177.5,34.6,Sandy,0,Kharif,3.15
2014,Wheat,87.5,19.3,Clay,1,Rabi,3.61
2023,Soybean,136.7,25.2,Clay,1,Kharif,2.37
2019,Wheat,80.9,19.8,Clay,1,Rabi,3.29
2021,Mustard,61.4,16.8,Clay,1,Rabi,1.38
2021,Maize,57.1,26.6,Sandy,1,Kharif,2.46
2013,Mustard,44.6,12.1,Sandy,1,Rabi,1.36
2013,Wheat,89.7,21.3,Clay,0,Rabi,3.0
2018,Rice,143.2,28.8,Sandy,1,Kharif,3.06
2017,Mustard,77.0,12.7,Loam,1,Rabi,1.94
2021,Maize,119.1,21.8,Sandy,0,Kharif,2.45
2017,Mustard,61.5,17.8,Sandy,0,Rabi,1.35
2017,Soybean,122.2,21.7,Clay,0,Kharif,1.89
2021,Rice,174.5,29.6,Clay,0,Kharif,3.43
2017,Rice,108.0,33.7,Clay,1,Kharif,4.02
2010,Soybean,139.0,29.2,Sandy,0,Kharif,1.76
2011,Soybean,79.0,23.2,Sandy,1,Kharif,2.03
2020,Soybean,92.3,20.7,Loam,1,Kharif,2.11
2018,Mustard,32.3,11.7,Clay,0,Rabi,0.92
2019,Maize,60.0,22.1,Sandy,0,Kharif,2.91
2011,Wheat,96.5,16.6,Loam,0,Rabi,3.64
2013,Mustard,57.8,24.9,Sandy,0,Rabi,1.38
2016,Rice,158.6,22.3,Loam,1,Kharif,5.02
2017,Wheat,85.2,20.2,Sandy,1,Rabi,3.43
2016,Wheat,80.9,21.7,Loam,1,Rabi,3.49
2019,Rice,187.4,23.1,Clay,1,Kharif,4.34
2018,Rice,158.4,26.6,Loam,1,Kharif,4.05
2012,Maize,85.2,26.5,Loam,0,Kharif,2.83
2012,Maize,118.3,27.5,Loam,0,Kharif,3.6
2014,Rice,101.1,28.4,Clay,1,Kharif,3.84
2023,Rice,118.7,24.1,Loam,1,Kharif,4.04
2014,Wheat,73.7,24.0,Clay,0,Rabi,3.17
2010,Mustard,54.7,11.4,Loam,0,Rabi,1.13
2014,Rice,109.4,26.9,Sandy,1,Kharif,3.16
2012,Mustard,70.9,23.0,Loam,1,Rabi,1.39
2023,Mustard,61.1,15.9,Loam,0,Rabi,1.57
2021,Soybean,141.7,25.1,Clay,1,Kharif,2.0
2010,Maize,78.2,28.9,Clay,1,Kharif,2.98
2018,Maize,86.4,23.8,Sandy,1,Kharif,2.97
2015,Wheat,82.2,18.9,Clay,0,Rabi,2.96
2016,Wheat,65.2,23.1,Clay,1,Rabi,3.04
2016,Maize,117.7,24.9,Clay,1,Kharif,4.68
2020,Wheat,77.5,17.5,Loam,1,Rabi,4.12
2011,Mustard,42.9,17.4,Loam,1,Rabi,1.62
2011,Wheat,50.5,21.1,Sandy,1,Rabi,3.03
2022,Soybean,73.5,29.9,Clay,0,Kharif,2.09
2022,Wheat,82.9,23.5,Loam,0,Rabi,3.38
2018,Rice,125.2,34.5,Sandy,0,Kharif,2.8
2020,Wheat,97.5,18.7,Loam,1,Rabi,4.12
2019,Mustard,35.5,14.8,Sandy,1,Rabi,1.27
2021,Maize,119.3,26.5,Loam,0,Kharif,2.98
2017,Rice,113.6,24.8,Clay,1,Kharif,3.42
2013,Rice,152.8,33.6,Loam,0,Kharif,4.39
2019,Mustard,77.5,24.3,Clay,1,Rabi,1.35
2020,Soybean,105.5,29.0,Clay,1,Kharif,2.63
2010,Soybean,123.2,27.0,Loam,0,Kharif,2.05
2023,Wheat,61.2,21.5,Sandy,0,Rabi,3.21
2022,Rice,128.1,31.4,Loam,1,Kharif,3.87
2013,Soybean,113.2,20.4,Sandy,0,Kharif,2.18
2014,Maize,92.8,26.0,Sandy,0,Kharif,2.5
2011,Wheat,97.7,17.8,Sandy,0,Rabi,3.24
2017,Wheat,69.6,20.9,Clay,1,Rabi,3.5
2011,Maize,116.0,24.0,Clay,0,Kharif,2.98
2013,Maize,79.0,25.2,Clay,1,Kharif,3.22
2012,Soybean,76.9,22.8,Clay,0,Kharif,1.96
2015,Maize,92.5,21.4,Loam,0,Kharif,3.03
2023,Rice,119.6,23.2,Loam,1,Kharif,3.79
2016,Soybean,94.7,22.9,Sandy,1,Kharif,2.66
2018,Wheat,68.7,15.5,Loam,0,Rabi,3.44
2010,Mustard,46.3,13.6,Sandy,1,Rabi,1.6
2013,Soybean,93.1,20.9,Clay,0,Kharif,1.77
2013,Maize,88.0,25.2,Clay,0,Kharif,2.93
2016,Soybean,69.2,22.4,Clay,1,Kharif,1.86
2012,Wheat,66.4,19.9,Clay,1,Rabi,3.52
2018,Wheat,62.9,24.1,Clay,0,Rabi,3.16
2020,Rice,137.6,31.8,Sandy,1,Kharif,2.91
2021,Soybean,77.3,21.7,Loam,1,Kharif,1.89
2010,Rice,155.4,23.0,Clay,0,Kharif,3.97
2014,Mustard,78.5,15.7,Loam,1,Rabi,1.85
2013,Soybean,76.5,21.8,Sandy,0,Kharif,1.8
2022,Maize,116.4,21.6,Loam,0,Kharif,4.34
2022,Maize,106.4,23.5,Loam,0,Kharif,3.98
2018,Mustard,59.2,21.2,Sandy,0,Rabi,1.48
2023,Mustard,61.0,21.3,Sandy,0,Rabi,1.35
2020,Soybean,114.1,28.7,Loam,1,Kharif,2.68
